,Name,Region,Location,QS Rank,QS Score,No staffs,No internat staffs,No students,No internat students
1,Massachusetts Institute of Technology (MIT),North America,United States,1,100.0,2982,1679,11067,3717
2,Stanford University,North America,United States,2,98.7,4285,2042,15878,3611
3,Harvard University,North America,United States,3,98.4,4350,1311,22429,5266
4,California Institute of Technology (Caltech),North America,United States,4,97.7,953,350,2255,647
5,University of Cambridge,Europe,United Kingdom,5,95.6,5490,2278,18770,6699
6,University of Oxford,Europe,United Kingdom,6,95.3,6750,2964,19720,7353
7,UCL (University College London),Europe,United Kingdom,7,94.6,6345,2554,31080,14854
8,Imperial College London,Europe,United Kingdom,8,93.7,3930,2071,16090,8746
9,University of Chicago,North America,United States,9,93.5,2449,635,13557,3379
10,ETH Zurich - Swiss Federal Institute of Technology,Europe,Switzerland,10,93.3,2477,1886,19815,7563
11,"Nanyang Technological University, Singapore (NTU)",Asia,Singapore,11,92.2,4338,2993,25738,7251
12,Ecole Polytechnique Fédérale de Lausanne (EPFL),Europe,Switzerland,12,91.2,1695,1300,10343,5896
13,Princeton University,North America,United States,13,91.0,1007,246,8069,1793
14,Cornell University,North America,United States,14,90.7,2718,970,21904,5411
15,National University of Singapore (NUS),Asia,Singapore,15,90.5,5106,3086,32728,8917
16,Yale University,North America,United States,16,90.4,4940,1708,12402,2469
17,Johns Hopkins University,North America,United States,17,89.8,4462,1061,16146,4105
18,Columbia University,North America,United States,18,88.9,6189,913,25045,8105
19,University of Pennsylvania,North America,United States,19,88.7,5499,1383,20639,4250
20,The Australian National University,Oceania,Australia,20,87.1,1600,927,14442,5551
21,University of Michigan,North America,United States,21,87.0,6809,1920,43147,7527
22,Duke University,North America,United States,21,87.0,2938,226,15320,2864
23,The University of Edinburgh,Europe,United Kingdom,23,86.9,4075,1553,28040,10551
24,King's College London,Europe,United Kingdom,23,86.9,3650,1513,23780,9451
25,Tsinghua University,Asia,China,25,85.6,5506,932,36300,4072
26,The University of Hong Kong,Asia,Hong Kong,26,85.5,3012,2085,20214,8230
27,"University of California, Berkeley (UCB)",North America,United States,27,84.9,3321,1395,36703,6086
28,The University of Tokyo,Asia,Japan,28,84.8,4514,254,27279,2639
29,Northwestern University,North America,United States,28,84.8,4231,1141,18675,3422
30,The Hong Kong University of Science and Technology,Asia,Hong Kong,30,84.3,1150,835,10375,2921
31,University of Toronto,North America,Canada,31,84.0,9581,3905,72207,21910
32,McGill University,North America,Canada,32,83.9,3646,1220,28837,9540
33,"University of California, Los Angeles (UCLA)",North America,United States,33,83.6,2859,662,40114,6887
34,The University of Manchester,Europe,United Kingdom,34,83.0,4910,1653,36670,13514
35,London School of Economics and Political Science (LSE),Europe,United Kingdom,35,81.8,1088,687,9760,6748
36,Kyoto University,Asia,Japan,36,81.5,4060,293,22974,1990
37,Seoul National University,Asia,South Korea,36,81.5,3930,433,28064,2331
38,Peking University,Asia,China,38,80.8,5185,1038,42136,7090
